numeropol;freq_paiement;langue;type_prof;alimentation;type_territoire;utilisation;presence_alarme;marque_voiture;sexe;nbsin;exposition;cout;age;duree_permis
9753;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;1;0.761643836;38.48;52;33
9754;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;0;0.997260274;0;52;33
9755;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;0;0.997260274;0;54;35
9756;mensuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;oui;HONDA;F;0;0.997260274;0;62;35
9757;annuel;A;Technicien;Végétarien;Urbain;Loisir;oui;FORD;M;1;0.997260274;165.66;32;13
9758;annuel;A;Technicien;Carnivore;Urbain;Loisir;oui;FORD;M;0;0.068493151;0;33;14
9759;annuel;A;Technicien;Carnivore;Semi-urbain;Loisir;oui;FORD;M;0;0.926027397;0;33;14
9760;mensuel;A;Technicien;Végétarien;Urbain;Travail-occasionnel;oui;HONDA;M;0;0.997260274;0;31;9
9761;mensuel;A;Technicien;Végétarien;Urbain;Travail-occasionnel;oui;HONDA;M;0;0.997260274;0;32;10
9762;mensuel;A;Technicien;Végétarien;Urbain;Travail-occasionnel;oui;HONDA;M;0;0.997260274;0;33;11
9763;mensuel;A;Technicien;Végétarien;Urbain;Travail-occasionnel;oui;HONDA;M;0;0.095890411;0;34;12
9764;mensuel;F;Informaticien;Carnivore;Semi-urbain;Travail-occasionnel;non;FORD;M;0;0.939726027;0;31;12
9765;mensuel;F;Informaticien;Carnivore;Semi-urbain;Travail-occasionnel;non;NISSAN;M;0;0.054794521;0;32;13
9766;mensuel;F;Informaticien;Carnivore;Semi-urbain;Travail-occasionnel;non;NISSAN;M;0;1;0;33;14
9767;mensuel;F;Informaticien;Carnivore;Semi-urbain;Travail-occasionnel;non;NISSAN;M;0;0.997260274;0;34;15
9768;mensuel;F;Professeur;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;M;0;0.767123288;0;40;20
9769;mensuel;F;Professeur;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;M;0;0.698630137;0;41;21
9770;mensuel;F;Professeur;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;M;0;0.295890411;0;42;22
9771;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;non;PEUGEOT;M;0;0.610958904;0;41;19
9772;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;oui;PEUGEOT;M;0;0.378082192;0;42;20
9773;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;oui;PEUGEOT;M;0;0.997260274;0;42;20
9774;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;oui;PEUGEOT;M;0;0.980821918;0;43;21
9775;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;non;TOYOTA;M;0;1;0;44;22
9776;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;non;TOYOTA;M;2;0.997260274;27914.06;46;24
9777;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;non;TOYOTA;M;0;0.997260274;0;47;25
9778;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;RENAULT;M;1;0.906849315;779.09;44;25
9779;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;GM;M;0;0.087671233;0;45;26
9780;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-quotidien;oui;GM;M;0;0.997260274;0;46;27
9781;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;HONDA;M;0;0.591780822;0;47;28
9782;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-quotidien;oui;HONDA;M;0;0.997260274;0;48;29
9783;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-quotidien;oui;HONDA;M;0;0.531506849;0;49;30
9784;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-quotidien;oui;HONDA;M;0;0.463013699;0;50;31
9785;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-quotidien;oui;HONDA;M;0;0.997260274;0;50;31
9786;mensuel;F;Avocat;Carnivore;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.997260274;0;33;6
9787;mensuel;F;Avocat;Carnivore;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.997260274;0;34;7
9788;mensuel;F;Avocat;Carnivore;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;1;1;258.44;35;8
9789;mensuel;F;Avocat;Carnivore;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.997260274;0;37;10
9790;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;non;GM;M;0;0.997260274;0;30;10
9791;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;non;GM;M;0;0.008219178;0;31;11
9792;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;non;RENAULT;M;1;0.920547945;202.87;31;11
9793;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;non;RENAULT;M;0;0.063013699;0;32;12
9794;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;non;RENAULT;M;0;0.060273973;0;32;12
9795;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;non;RENAULT;M;2;0.690410959;1159.65;32;12
9796;annuel;A;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;FORD;M;0;0.997260274;0;59;28
9797;annuel;A;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;FORD;M;0;0.471232877;0;60;29
9798;annuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;oui;FORD;M;0;0.523287671;0;61;30
9799;annuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;oui;FORD;M;0;0.997260274;0;61;30
9800;annuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;oui;FORD;M;0;0.216438356;0;62;31
9801;annuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;oui;FORD;M;0;0.780821918;0;62;31
9802;annuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;oui;FORD;M;0;0.997260274;0;63;32
9803;annuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;oui;FORD;M;0;0.997260274;0;64;33
9804;annuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;oui;FORD;M;0;0.997260274;0;65;34
9805;mensuel;A;Actuaire;Végétarien;Urbain;Travail-occasionnel;non;VOLKSWAGEN;M;0;0.704109589;0;42;23
9806;mensuel;A;Actuaire;Végétarien;Urbain;Travail-occasionnel;non;AUDI;M;0;0.290410959;0;43;24
9807;mensuel;A;Actuaire;Carnivore;Urbain;Travail-occasionnel;non;AUDI;M;0;0.997260274;0;44;25
9808;mensuel;A;Actuaire;Carnivore;Urbain;Travail-occasionnel;non;AUDI;M;0;1;0;45;26
9809;mensuel;A;Actuaire;Carnivore;Urbain;Travail-occasionnel;non;AUDI;M;0;0.997260274;0;46;27
9810;mensuel;A;Actuaire;Carnivore;Urbain;Travail-occasionnel;non;AUDI;M;0;0.997260274;0;48;29
9811;mensuel;F;Actuaire;Carnivore;Semi-urbain;Travail-occasionnel;non;GM;M;0;0.249315068;0;36;13
9812;mensuel;F;Actuaire;Carnivore;Semi-urbain;Travail-occasionnel;non;GM;M;0;0.230136986;0;36;13
9813;mensuel;F;Actuaire;Carnivore;Semi-urbain;Travail-occasionnel;non;GM;M;0;0.512328767;0;36;13
9814;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;0;0.997260274;0;58;12
9815;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;0;0.380821918;0;60;14
9816;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;0;0.997260274;0;60;14
9817;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;0;1;0;61;15
9818;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;0;0.997260274;0;62;16
9819;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;0;0.997260274;0;63;17
9820;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;0;0.997260274;0;64;18
9821;annuel;A;Hockeyeur;Végétarien;Urbain;Loisir;non;LANCIA;M;0;0.920547945;0;53;28
9822;annuel;A;Hockeyeur;Végétarien;Urbain;Loisir;non;LANCIA;M;0;0.857534247;0;54;29
9823;annuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;oui;MITSUBISHI;M;0;0.501369863;0;66;28
9824;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;non;VOLKSWAGEN;F;0;1;0;39;18
9825;annuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;non;RENAULT;F;0;0.638356164;0;52;28
9826;annuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;non;RENAULT;F;0;0.032876712;0;22;3
9827;annuel;F;Hockeyeur;Carnivore;Semi-urbain;Travail-quotidien;non;RENAULT;F;0;0.997260274;0;53;29
9828;annuel;F;Hockeyeur;Carnivore;Semi-urbain;Travail-quotidien;non;RENAULT;F;0;1;0;55;35
9829;annuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;RENAULT;F;0;0.254794521;0;37;18
9830;annuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;RENAULT;F;0;0.997260274;0;37;18
9831;annuel;A;Infirmière;Carnivore;Urbain;Travail-occasionnel;oui;SKODA;M;0;0.580821918;0;30;10
9832;annuel;A;Infirmière;Carnivore;Urbain;Travail-occasionnel;oui;GM;M;0;0.416438356;0;30;10
9833;annuel;A;Infirmière;Carnivore;Urbain;Travail-occasionnel;oui;SKODA;M;0;0.591780822;0;31;11
9834;annuel;A;Infirmière;Carnivore;Urbain;Travail-occasionnel;oui;FORD;M;0;0.4;0;31;11
9835;annuel;A;Infirmière;Carnivore;Urbain;Travail-occasionnel;oui;FORD;M;0;0.528767123;0;32;12
9836;annuel;A;Infirmière;Carnivore;Urbain;Travail-occasionnel;oui;FORD;M;0;0.465753425;0;32;12
9837;annuel;A;Infirmière;Carnivore;Urbain;Travail-occasionnel;oui;FORD;M;0;0.583561644;0;33;13
9838;annuel;A;Infirmière;Carnivore;Urbain;Travail-occasionnel;oui;FORD;M;0;0.64109589;0;35;15
9839;annuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;oui;NISSAN;F;0;0.810958904;0;60;29
9840;annuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;oui;NISSAN;F;0;0.843835616;0;61;30
9841;mensuel;F;Médecin;Carnivore;Semi-urbain;Travail-quotidien;oui;SUBARU;M;0;0.912328767;0;59;27
9842;mensuel;F;Médecin;Carnivore;Semi-urbain;Travail-quotidien;oui;SUBARU;M;0;0.997260274;0;61;29
9843;mensuel;F;Médecin;Carnivore;Semi-urbain;Travail-quotidien;oui;SUBARU;M;0;1;0;62;30
9844;annuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;oui;GM;M;0;0.997260274;0;52;33
9845;mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;non;GM;M;1;0.797260274;12948.53;53;34
9846;mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;non;GM;M;0;0.997260274;0;54;35
9847;mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;non;GM;M;0;0.997260274;0;55;36
9848;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;non;GM;M;1;0.997260274;185.57;56;37
9849;mensuel;F;Actuaire;Végétalien;Rural;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.747945205;0;30;12
9850;mensuel;F;Actuaire;Végétarien;Rural;Travail-occasionnel;non;BMW;M;0;0.997260274;0;31;13
9851;mensuel;F;Actuaire;Végétarien;Rural;Travail-occasionnel;non;BMW;M;0;0.843835616;0;32;14
9852;mensuel;F;Actuaire;Végétarien;Urbain;Travail-occasionnel;non;BMW;M;0;0.150684932;0;33;15
9853;mensuel;F;Actuaire;Végétarien;Urbain;Travail-occasionnel;non;BMW;M;0;0.997260274;0;33;15
9854;mensuel;F;Actuaire;Végétarien;Urbain;Travail-occasionnel;non;BMW;M;1;1;239.25;34;16
9855;mensuel;F;Actuaire;Végétarien;Urbain;Travail-occasionnel;non;BMW;M;0;0.997260274;0;36;18
9856;mensuel;F;Actuaire;Végétarien;Urbain;Travail-occasionnel;non;BMW;M;0;0.997260274;0;37;19
9857;mensuel;F;Technicien;Végétalien;Semi-urbain;Travail-occasionnel;oui;SEAT;F;0;0.58630137;0;30;10
9858;mensuel;F;Technicien;Végétalien;Semi-urbain;Travail-occasionnel;oui;SEAT;F;0;0.997260274;0;31;11
9859;mensuel;F;Technicien;Végétalien;Semi-urbain;Travail-occasionnel;oui;SEAT;F;0;0.189041096;0;32;12
9860;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-occasionnel;oui;SUBARU;F;0;0.997260274;0;30;2
9861;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-occasionnel;oui;SUBARU;F;0;0.997260274;0;31;3
9862;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-occasionnel;non;PEUGEOT;F;1;0.463013699;338.27;33;5
9863;mensuel;F;Technicien;Végétalien;Semi-urbain;Travail-occasionnel;non;PEUGEOT;F;0;1;0;33;5
9864;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-occasionnel;non;PEUGEOT;F;1;0.257534247;7639.01;36;8
9865;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-occasionnel;non;RENAULT;F;0;0.736986301;0;36;8
9866;annuel;A;Technicien;Végétalien;Urbain;Travail-occasionnel;oui;PEUGEOT;F;1;1;538.47;27;10
9867;annuel;F;Hockeyeur;Carnivore;Semi-urbain;Travail-quotidien;oui;FORD;F;0;0.997260274;0;54;24
9868;annuel;F;Hockeyeur;Carnivore;Semi-urbain;Travail-quotidien;oui;FORD;F;0;0.997260274;0;56;26
9869;annuel;F;Hockeyeur;Carnivore;Semi-urbain;Travail-quotidien;oui;FORD;F;0;0.315068493;0;57;27
9870;mensuel;F;Hockeyeur;Carnivore;Semi-urbain;Travail-quotidien;oui;TOYOTA;M;0;0.997260274;0;52;28
9871;mensuel;F;Hockeyeur;Carnivore;Semi-urbain;Travail-quotidien;oui;TOYOTA;M;0;0.997260274;0;53;29
9872;mensuel;F;Hockeyeur;Carnivore;Semi-urbain;Travail-quotidien;oui;TOYOTA;M;0;1;0;55;31
9873;mensuel;F;Hockeyeur;Carnivore;Semi-urbain;Travail-quotidien;oui;TOYOTA;M;0;0.882191781;0;56;32
9874;mensuel;F;Hockeyeur;Carnivore;Semi-urbain;Travail-quotidien;oui;TOYOTA;M;0;0.997260274;0;57;33
9875;mensuel;F;Hockeyeur;Carnivore;Semi-urbain;Travail-quotidien;oui;TOYOTA;M;0;0.997260274;0;58;34
9876;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.997260274;0;55;28
9877;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.997260274;0;56;29
9878;annuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.997260274;0;36;14
9879;annuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.008219178;0;38;16
9880;annuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.780821918;0;38;16
9881;annuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.035616438;0;39;17
9882;annuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;1;0;39;17
9883;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;TOYOTA;M;0;0.106849315;0;33;16
9884;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;TOYOTA;M;0;0.887671233;0;33;16
9885;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;TOYOTA;M;0;0.293150685;0;34;17
9886;mensuel;F;Actuaire;Végétalien;Semi-urbain;Travail-occasionnel;non;VOLKSWAGEN;M;0;1;0;24;6
9887;mensuel;F;Actuaire;Végétarien;Semi-urbain;Travail-occasionnel;non;VOLKSWAGEN;M;0;0.997260274;0;25;7
9888;mensuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;oui;BMW;M;0;1;0;75;27
9889;mensuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;oui;BMW;M;0;0.997260274;0;76;28
9890;mensuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;oui;BMW;M;0;0.630136986;0;78;30
9891;mensuel;A;Avocat;Carnivore;Urbain;Travail-quotidien;oui;GM;M;0;0.353424658;0;78;30
9892;mensuel;A;Avocat;Carnivore;Urbain;Travail-quotidien;oui;GM;M;0;1;0;79;31
9893;mensuel;A;Avocat;Carnivore;Urbain;Travail-quotidien;oui;GM;M;0;0.997260274;0;81;33
9894;mensuel;A;Informaticien;Carnivore;Urbain;Travail-occasionnel;oui;MERCEDES-BENZ;M;0;0.997260274;0;64;28
9895;mensuel;A;Informaticien;Carnivore;Urbain;Travail-occasionnel;oui;MERCEDES-BENZ;M;0;0.997260274;0;65;29
9896;mensuel;A;Informaticien;Végétarien;Urbain;Travail-quotidien;oui;RENAULT;M;0;0.169863014;0;65;28
9897;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;VOLKSWAGEN;M;0;0.643835616;0;66;28
9898;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;VOLKSWAGEN;M;0;0.997260274;0;67;29
9899;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;VOLKSWAGEN;M;0;0.997260274;0;68;30
9900;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;BMW;M;0;0.063013699;0;70;32
9901;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;BMW;M;0;0.997260274;0;70;32
9902;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;BMW;M;0;0.997260274;0;71;33
9903;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;BMW;M;0;0.252054795;0;72;34
9904;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;MERCEDES-BENZ;M;1;0.742465753;483.06;72;34
9905;annuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;oui;PEUGEOT;M;0;0.246575342;0;34;14
9906;annuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;oui;PEUGEOT;M;0;0.35890411;0;34;14
9907;annuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;oui;SEAT;M;0;0.336986301;0;34;14
9908;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;oui;SEAT;M;1;1;8.78;35;15
9909;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;oui;SEAT;M;1;0.298630137;241.61;36;16
9910;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;MERCEDES-BENZ;M;1;1;1555.39;57;28
9911;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-occasionnel;non;MERCEDES-BENZ;M;1;0.997260274;1913.2;58;29
9912;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-occasionnel;non;MERCEDES-BENZ;M;0;0.997260274;0;59;30
9913;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-occasionnel;non;MERCEDES-BENZ;M;1;0.997260274;253.39;60;31
9914;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-occasionnel;non;MERCEDES-BENZ;M;0;0.076712329;0;62;33
9915;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-quotidien;non;ALFA ROMEO;M;1;0.17260274;38.48;62;33
9916;mensuel;F;Informaticien;Végétarien;Rural;Travail-quotidien;oui;NISSAN;M;1;0.545205479;1085.73;31;10
9917;mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-quotidien;oui;NISSAN;M;0;0.449315068;0;31;10
9918;mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-quotidien;oui;NISSAN;M;0;0.997260274;0;32;11
9919;mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-quotidien;oui;NISSAN;M;0;0.150684932;0;33;12
9920;mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-quotidien;oui;RENAULT;M;0;0.002739726;0;33;12
9921;mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-quotidien;oui;RENAULT;M;0;0.717808219;0;35;14
9922;mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-quotidien;oui;RENAULT;M;0;0.997260274;0;35;14
9923;mensuel;A;Infirmière;Carnivore;Urbain;Travail-occasionnel;non;FIAT;M;0;0.997260274;0;41;22
9924;mensuel;A;Infirmière;Carnivore;Urbain;Travail-occasionnel;non;FIAT;M;0;1;0;43;24
9925;mensuel;A;Infirmière;Carnivore;Urbain;Travail-occasionnel;non;FIAT;M;0;0.997260274;0;44;25
9926;mensuel;A;Infirmière;Carnivore;Urbain;Travail-occasionnel;non;FIAT;M;0;0.997260274;0;45;26
9927;mensuel;A;Infirmière;Carnivore;Urbain;Travail-occasionnel;non;FIAT;M;0;0.997260274;0;46;27
9928;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;FORD;M;0;0.646575342;0;72;28
9929;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;FORD;M;0;0.997260274;0;73;29
9930;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;FORD;M;1;0.997260274;4137.03;74;30
9931;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;FORD;M;0;0.063013699;0;76;32
9932;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;FORD;M;1;0.931506849;1425.59;76;32
9933;mensuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;oui;FORD;M;0;0.167123288;0;77;33
9934;mensuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;oui;HONDA;M;0;0.82739726;0;77;33
9935;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;HONDA;M;0;0.997260274;0;78;34
9936;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;Autres;F;0;0.912328767;0;49;28
9937;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;Autres;F;0;0.082191781;0;50;29
9938;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;Autres;F;0;0.997260274;0;50;29
9939;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;Autres;F;0;0.997260274;0;51;30
9940;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;Autres;F;0;0.726027397;0;52;31
9941;mensuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;oui;MERCEDES-BENZ;M;0;0.745205479;0;61;31
9942;mensuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;non;FORD;M;0;0.997260274;0;62;32
9943;mensuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;non;FORD;M;0;1;0;63;33
9944;mensuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;non;FORD;M;0;0.997260274;0;64;34
9945;mensuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;non;FORD;M;0;0.997260274;0;65;35
9946;mensuel;A;Ingénieur;Carnivore;Urbain;Travail-quotidien;non;FORD;M;0;0.997260274;0;66;36
9947;mensuel;A;Hockeyeur;Carnivore;Urbain;Travail-quotidien;oui;VOLVO;F;0;0.997260274;0;63;31
9948;mensuel;A;Hockeyeur;Carnivore;Urbain;Travail-quotidien;oui;VOLVO;F;0;0.997260274;0;64;32
9949;mensuel;A;Hockeyeur;Carnivore;Urbain;Travail-quotidien;oui;VOLVO;F;0;1;0;65;33
9950;mensuel;A;Hockeyeur;Carnivore;Urbain;Travail-quotidien;oui;VOLVO;F;0;0.997260274;0;66;34
9951;mensuel;A;Hockeyeur;Carnivore;Urbain;Travail-quotidien;oui;VOLVO;F;0;0.17260274;0;67;35
9952;mensuel;F;Hockeyeur;Carnivore;Rural;Travail-occasionnel;non;VOLKSWAGEN;F;2;1;2158.34;54;28
9953;mensuel;F;Hockeyeur;Carnivore;Rural;Travail-occasionnel;non;VOLKSWAGEN;F;0;0.410958904;0;55;29
9954;mensuel;F;Hockeyeur;Carnivore;Semi-urbain;Travail-occasionnel;non;VOLKSWAGEN;F;0;0.583561644;0;55;29
9955;mensuel;F;Hockeyeur;Carnivore;Semi-urbain;Travail-occasionnel;non;VOLKSWAGEN;F;1;0.997260274;63.96;57;31
9956;mensuel;F;Hockeyeur;Carnivore;Semi-urbain;Travail-occasionnel;non;VOLKSWAGEN;F;0;1;0;58;32
9957;mensuel;F;Hockeyeur;Carnivore;Semi-urbain;Travail-occasionnel;non;VOLKSWAGEN;F;0;0.997260274;0;59;33
9958;mensuel;F;Hockeyeur;Carnivore;Semi-urbain;Travail-occasionnel;non;VOLKSWAGEN;F;0;0.997260274;0;61;35
9959;annuel;F;Ingénieur;Carnivore;Urbain;Travail-quotidien;non;GM;M;0;0.997260274;0;72;29
9960;annuel;F;Ingénieur;Carnivore;Urbain;Travail-quotidien;non;GM;M;0;1;0;73;30
9961;annuel;F;Ingénieur;Carnivore;Urbain;Travail-quotidien;non;GM;M;0;0.997260274;0;76;33
9962;annuel;F;Ingénieur;Carnivore;Urbain;Travail-quotidien;non;GM;M;0;1;0;77;34
9963;annuel;F;Technicien;Végétarien;Semi-urbain;Travail-quotidien;oui;TOYOTA;M;1;1;192.68;51;26
9964;annuel;F;Technicien;Végétarien;Semi-urbain;Travail-quotidien;oui;TOYOTA;M;0;0.997260274;0;52;27
9965;annuel;F;Technicien;Végétarien;Semi-urbain;Travail-quotidien;oui;TOYOTA;M;0;0.101369863;0;53;28
9966;mensuel;A;Infirmière;Carnivore;Urbain;Travail-quotidien;oui;FORD;M;0;0.295890411;0;39;20
9967;mensuel;A;Infirmière;Carnivore;Urbain;Travail-quotidien;oui;FORD;M;0;0.698630137;0;39;20
9968;mensuel;A;Infirmière;Carnivore;Urbain;Travail-quotidien;oui;FORD;M;0;0.731506849;0;40;21
9969;mensuel;A;Infirmière;Carnivore;Urbain;Travail-quotidien;oui;MERCEDES-BENZ;M;0;0.263013699;0;41;22
9970;mensuel;A;Infirmière;Carnivore;Urbain;Travail-quotidien;oui;MERCEDES-BENZ;M;0;0.997260274;0;41;22
9971;mensuel;A;Infirmière;Carnivore;Urbain;Travail-quotidien;oui;MERCEDES-BENZ;M;0;1;0;42;23
9972;mensuel;A;Infirmière;Carnivore;Urbain;Travail-quotidien;oui;MERCEDES-BENZ;M;0;0.997260274;0;43;24
9973;mensuel;A;Infirmière;Carnivore;Urbain;Travail-quotidien;oui;MERCEDES-BENZ;M;0;0.997260274;0;44;25
9974;mensuel;F;Technicien;Végétalien;Rural;Travail-occasionnel;oui;MITSUBISHI;F;0;0.126027397;0;33;5
